 ID:583680 Flak 38 < Lin N 5 Com AAA 
 ID:598016 Flak 38 < Lin N 5 Com AAA 
 ID:182272 arf_dugouts_3[25011,4] < Lin N 5 Rif Dug 
 ID:182272 arf_dugouts_3[25011,1] < Lin N 5 Rif Dug 
 ID:182272 arf_dugouts_3[-1,-1] < Lin N 5 Rif Dug 
 ID:182272 arf_dugouts_3[25011,1] < Lin N 5 Rif Dug 
 ID:182272 arf_dugouts_3[25011,2] < Lin N 5 Rif Dug 
 ID:182272 arf_dugouts_3[25011,5] < Lin N 5 Rif Dug 
 ID:182272 arf_dugouts_3[25011,6] < Lin N 5 Rif Dug 
 ID:182272 arf_dugouts_3[-1,-1] < Lin N 5 Rif Dug 
 ID:182272 arf_dugouts_3[25011,2] < Lin N 5 Rif Dug 
 ID:182272 arf_dugouts_3[25011,3] < Lin N 5 Rif Dug 
 ID:182272 arf_dugouts_3[25011,6] < Lin N 5 Rif Dug 
 ID:576512 MG-34 AA < Lin N 5 Com AAA 
 ID:182272 arf_dugouts_3[25011,4] < Lin N 5 Rif Dug 
 ID:182272 arf_dugouts_3[25011,1] < Lin N 5 Rif Dug 
 ID:190464 leFH 18 < Lin N 5 Com Art 
 ID:197632 leFH 18 < Lin N 5 Com Art 
 ID:547840 Flak 38 < Lin N 5 Com AAA 
 ID:562176 MG-34 AA < Lin N 5 Com AAA 
 ID:590848 Flak 38 < Lin N 5 Com AAA 
 ID:605184 Flak 38 < Lin N 5 Com AAA 
 ID:382976 industrial_object_OilSmall[-1,-1] < Dep N 2 Rif Oil 
 ID:386048 industrial_object_zavodkorpys45m[-1,-1] < Dep N 2 Rif Oil 
 ID:387072 industrial_object_OilSmall[-1,-1] < Dep N 2 Rif Oil 
 ID:382976 industrial_object_OilSmall[27985,1] < Dep N 2 Rif Oil 
 ID:386048 industrial_object_zavodkorpys45m[27997,1] < Dep N 2 Rif Oil 
 ID:387072 industrial_object_OilSmall[28001,1] < Dep N 2 Rif Oil 
 ID:382976 industrial_object_OilSmall[-1,-1] < Dep N 2 Rif Oil 
 ID:386048 industrial_object_zavodkorpys45m[-1,-1] < Dep N 2 Rif Oil 
 ID:387072 industrial_object_OilSmall[-1,-1] < Dep N 2 Rif Oil 
 ID:382976 industrial_object_OilSmall[27985,1] < Dep N 2 Rif Oil 
 ID:386048 industrial_object_zavodkorpys45m[27997,1] < Dep N 2 Rif Oil 
 ID:387072 industrial_object_OilSmall[28001,1] < Dep N 2 Rif Oil 
 ID:382976 industrial_object_OilSmall[-1,-1] < Dep N 2 Rif Oil 
 ID:386048 industrial_object_zavodkorpys45m[-1,-1] < Dep N 2 Rif Oil 
 ID:387072 industrial_object_OilSmall[-1,-1] < Dep N 2 Rif Oil 
 ID:382976 industrial_object_OilSmall[27985,1] < Dep N 2 Rif Oil 
 ID:386048 industrial_object_zavodkorpys45m[27997,1] < Dep N 2 Rif Oil 
 ID:387072 industrial_object_OilSmall[28001,1] < Dep N 2 Rif Oil 
 ID:382976 industrial_object_OilSmall[-1,-1] < Dep N 2 Rif Oil 
 ID:386048 industrial_object_zavodkorpys45m[-1,-1] < Dep N 2 Rif Oil 
 ID:382976 industrial_object_OilSmall[27985,1] < Dep N 2 Rif Oil 
 ID:592896 Flak 38 < Dep N 2 Com AAA 
 ID:388096 industrial_object_oil[28005,1] < Dep N 2 Rif Oil 
 ID:384000 industrial_object_oil[-1,-1] < Dep N 2 Rif Oil 
 ID:385024 industrial_object_zavodkorpys45m[-1,-1] < Dep N 2 Rif Oil 
 ID:384000 industrial_object_oil[27989,1] < Dep N 2 Rif Oil 
 ID:388096 industrial_object_oil[-1,-1] < Dep N 2 Rif Oil 
 ID:389120 industrial_object_zavodkorpys45m[-1,-1] < Dep N 2 Rif Oil 
 ID:389120 industrial_object_zavodkorpys45m[28009,1] < Dep N 2 Rif Oil 
 ID:389120 industrial_object_zavodkorpys45m[-1,-1] < Dep N 2 Rif Oil 
 ID:389120 industrial_object_zavodkorpys45m[28009,1] < Dep N 2 Rif Oil 
 ID:389120 industrial_object_zavodkorpys45m[-1,-1] < Dep N 2 Rif Oil 
 ID:389120 industrial_object_zavodkorpys45m[28009,1] < Dep N 2 Rif Oil 
 ID:389120 industrial_object_zavodkorpys45m[-1,-1] < Dep N 2 Rif Oil 
 ID:388096 industrial_object_oil[28005,1] < Dep N 2 Rif Oil 
 ID:564224 Flak 36 < Dep N 2 Com AAA 
 ID:543744 Flak 38 < Dep N 2 Com AAA 
 ID:571392 Flak 36 < Dep N 2 Com AAA 
 ID:25600 industrial_300x100_01[-1,-1] < Sta N 1 Rif Edi 
 ID:25600 industrial_300x100_01[23595,3] < Sta N 1 Rif Edi 
 ID:25600 industrial_300x100_01[23595,8] < Sta N 1 Rif Edi 
 ID:25600 industrial_300x100_01[23595,3] < Sta N 1 Rif Edi 
 ID:25600 industrial_300x100_01[-1,-1] < Sta N 1 Rif Edi 
 ID:25600 industrial_300x100_01[23595,3] < Sta N 1 Rif Edi 
 ID:25600 industrial_300x100_01[23595,8] < Sta N 1 Rif Edi 
 ID:25600 industrial_300x100_01[-1,-1] < Sta N 1 Rif Edi 
 ID:25600 industrial_300x100_01[23595,3] < Sta N 1 Rif Edi 
 ID:25600 industrial_300x100_01[-1,-1] < Sta N 1 Rif Edi 
 ID:25600 industrial_300x100_01[23595,3] < Sta N 1 Rif Edi 
 ID:25600 industrial_300x100_01[23595,8] < Sta N 1 Rif Edi 
 ID:24576 industrial_300x100_01[23591,8] < Sta N 1 Rif Edi 
 ID:24576 industrial_300x100_01[-1,-1] < Sta N 1 Rif Edi 
 ID:24576 industrial_300x100_01[23591,3] < Sta N 1 Rif Edi 
 ID:24576 industrial_300x100_01[23591,8] < Sta N 1 Rif Edi 
 ID:24576 industrial_300x100_01[-1,-1] < Sta N 1 Rif Edi 
 ID:24576 industrial_300x100_01[23591,3] < Sta N 1 Rif Edi 
 ID:24576 industrial_300x100_01[23591,7] < Sta N 1 Rif Edi 
 ID:24576 industrial_300x100_01[23591,11] < Sta N 1 Rif Edi 
 ID:24576 industrial_300x100_01[-1,-1] < Sta N 1 Rif Edi 
 ID:25600 industrial_300x100_01[-1,-1] < Sta N 1 Rif Edi 
 ID:23552 industrial_300x100_01[23587,3] < Sta N 1 Rif Edi 
 ID:24576 industrial_300x100_01[23591,2] < Sta N 1 Rif Edi 
 ID:24576 industrial_300x100_01[23591,3] < Sta N 1 Rif Edi 
 ID:24576 industrial_300x100_01[23591,4] < Sta N 1 Rif Edi 
 ID:24576 industrial_300x100_01[23591,10] < Sta N 1 Rif Edi 
 ID:24576 industrial_300x100_01[23591,11] < Sta N 1 Rif Edi 
 ID:24576 industrial_300x100_01[23591,13] < Sta N 1 Rif Edi 
 ID:25600 industrial_300x100_01[23595,3] < Sta N 1 Rif Edi 
 ID:25600 industrial_300x100_01[23595,11] < Sta N 1 Rif Edi 
 ID:19456 industrial_300x100_01[-1,-1] < Sta N 1 Com Edi 
 ID:24576 industrial_300x100_01[-1,-1] < Sta N 1 Rif Edi 
 ID:24576 industrial_300x100_01[23591,2] < Sta N 1 Rif Edi 
 ID:24576 industrial_300x100_01[23591,3] < Sta N 1 Rif Edi 
 ID:24576 industrial_300x100_01[23591,4] < Sta N 1 Rif Edi 
 ID:24576 industrial_300x100_01[23591,11] < Sta N 1 Rif Edi 
 ID:24576 industrial_300x100_01[-1,-1] < Sta N 1 Rif Edi 
 ID:19456 industrial_300x100_01[23413,0] < Sta N 1 Com Edi 
 ID:19456 industrial_300x100_01[23413,9] < Sta N 1 Com Edi 
 ID:24576 industrial_300x100_01[23591,2] < Sta N 1 Rif Edi 
 ID:24576 industrial_300x100_01[23591,3] < Sta N 1 Rif Edi 
 ID:24576 industrial_300x100_01[23591,4] < Sta N 1 Rif Edi 
 ID:19456 industrial_300x100_01[-1,-1] < Sta N 1 Com Edi 
 ID:24576 industrial_300x100_01[-1,-1] < Sta N 1 Rif Edi 
 ID:19456 industrial_300x100_01[23413,0] < Sta N 1 Com Edi 
 ID:19456 industrial_300x100_01[23413,9] < Sta N 1 Com Edi 
 ID:24576 industrial_300x100_01[23591,2] < Sta N 1 Rif Edi 
 ID:24576 industrial_300x100_01[23591,3] < Sta N 1 Rif Edi 
 ID:24576 industrial_300x100_01[23591,4] < Sta N 1 Rif Edi 
 ID:19456 industrial_300x100_01[-1,-1] < Sta N 1 Com Edi 
 ID:24576 industrial_300x100_01[-1,-1] < Sta N 1 Rif Edi 
 ID:19456 industrial_300x100_01[23413,0] < Sta N 1 Com Edi 
 ID:19456 industrial_300x100_01[23413,4] < Sta N 1 Com Edi 
 ID:19456 industrial_300x100_01[23413,6] < Sta N 1 Com Edi 
 ID:19456 industrial_300x100_01[23413,10] < Sta N 1 Com Edi 
 ID:19456 industrial_300x100_01[23413,12] < Sta N 1 Com Edi 
 ID:24576 industrial_300x100_01[23591,3] < Sta N 1 Rif Edi 
 ID:24576 industrial_300x100_01[23591,7] < Sta N 1 Rif Edi 
 ID:24576 industrial_300x100_01[23591,13] < Sta N 1 Rif Edi 
 ID:24576 industrial_300x100_01[23591,11] < Sta N 1 Rif Edi 
 ID:19456 industrial_300x100_01[23413,9] < Sta N 1 Com Edi 
 ID:18432 industrial_300x100_01[23409,3] < Sta N 1 Com Edi 
 ID:23552 industrial_300x100_01[-1,-1] < Sta N 1 Rif Edi 
 ID:23552 industrial_300x100_01[23587,3] < Sta N 1 Rif Edi 
 ID:23552 industrial_300x100_01[23587,4] < Sta N 1 Rif Edi 
 ID:23552 industrial_300x100_01[23587,7] < Sta N 1 Rif Edi 
 ID:23552 industrial_300x100_01[23587,9] < Sta N 1 Rif Edi 
 ID:23552 industrial_300x100_01[23587,10] < Sta N 1 Rif Edi 
 ID:23552 industrial_300x100_01[23587,11] < Sta N 1 Rif Edi 
 ID:23552 industrial_300x100_01[23587,13] < Sta N 1 Rif Edi 
 ID:23552 industrial_300x100_01[-1,-1] < Sta N 1 Rif Edi 
